"Host","HostClass","HostOrder","HostFamily","HostGenus","ZoonoticHost","PathogenRichness","ZoonoticPathogenRichness","Pathogens","ZoonoticPathogens","HostCriteria"
"allenopithecus nigroviridis","mammalia","primates","cercopithecidae","allenopithecus",TRUE,6,6,"pneumocystis carinii, monkeypox virus, papiine gammaherpesvirus 1, primate t-lymphotropic virus 1, primate t-lymphotropic virus 3, simian immunodeficiency virus","pneumocystis carinii, monkeypox virus, papiine gammaherpesvirus 1, primate t-lymphotropic virus 1, primate t-lymphotropic virus 3, simian immunodeficiency virus","Broad (serology, sequencing or isolation)"
"alligator mississippiensis",NA,"crocodylia","alligatoridae","alligator",TRUE,8,6,"aeromonas hydrophila, citrobacter freundii, edwardsiella tarda, mycoplasma alligatoris, providencia rettgeri, rhodococcus hoagii, dujardinascaris waltoni, west nile virus","aeromonas hydrophila, citrobacter freundii, edwardsiella tarda, providencia rettgeri, rhodococcus hoagii, west nile virus","Broad (serology, sequencing or isolation)"
"alligator sinensis",NA,"crocodylia","alligatoridae","alligator",TRUE,9,7,"aeromonas hydrophila, bacillus subtilis, escherichia coli, exiguobacterium acetylicum, kurthia gibsonii, lysinibacillus fusiformis, lysinibacillus sphaericus, proteus mirabilis, influenza a virus","aeromonas hydrophila, bacillus subtilis, escherichia coli, exiguobacterium acetylicum, lysinibacillus sphaericus, proteus mirabilis, influenza a virus","Broad (serology, sequencing or isolation)"
"allochrocebus lhoesti","mammalia","primates","cercopithecidae","allochrocebus",TRUE,3,3,"pneumocystis carinii, strongyloides fuelleborni, simian immunodeficiency virus","pneumocystis carinii, strongyloides fuelleborni, simian immunodeficiency virus","Broad (serology, sequencing or isolation)"
"allochrocebus preussi","mammalia","primates","cercopithecidae","allochrocebus",TRUE,6,1,"papiine gammaherpesvirus 1, predict_ev-8, predict_hv-142, predict_hv-22, predict_hv-27, simian mastadenovirus f","papiine gammaherpesvirus 1","Broad (serology, sequencing or isolation)"
"allochrocebus solatus","mammalia","primates","cercopithecidae","allochrocebus",TRUE,1,1,"simian immunodeficiency virus","simian immunodeficiency virus","Broad (serology, sequencing or isolation)"
"allocricetulus eversmanni","mammalia","rodentia","cricetidae","allocricetulus",FALSE,1,0,"beilong jeilongvirus","","Broad (serology, sequencing or isolation)"
"allotoca diazi","actinopteri","cyprinodontiformes","goodeidae","allotoca",FALSE,1,0,"margotrema bravoae","","Broad (serology, sequencing or isolation)"
"alopias pelagicus","chondrichthyes","lamniformes","alopiidae","alopias",FALSE,1,0,"litobothrium amplifica","","Broad (serology, sequencing or isolation)"
"alopias superciliosus","chondrichthyes","lamniformes","alopiidae","alopias",FALSE,1,0,"litobothrium janovyi","","Broad (serology, sequencing or isolation)"
"alopochen aegyptiaca","aves","anseriformes","anatidae","alopochen",TRUE,4,3,"avian paraavulavirus 4, influenza a virus, usutu virus, west nile virus","influenza a virus, usutu virus, west nile virus","Broad (serology, sequencing or isolation)"
"alosa pseudoharengus","actinopteri","clupeiformes","clupeidae","alosa",TRUE,1,1,"paenibacillus thiaminolyticus","paenibacillus thiaminolyticus","Broad (serology, sequencing or isolation)"
"alosa sapidissima","actinopteri","clupeiformes","clupeidae","alosa",TRUE,2,1,"aeromonas hydrophila, ichthyophonus hoferi","aeromonas hydrophila","Broad (serology, sequencing or isolation)"
"alouatta belzebul","mammalia","primates","atelidae","alouatta",TRUE,7,4,"pseudomonas sp., plasmodium brasilianum, trypanosoma minasense, aroa virus, mayaro virus, saint louis encephalitis virus, yellow fever virus","aroa virus, mayaro virus, saint louis encephalitis virus, yellow fever virus","Broad (serology, sequencing or isolation)"
"alouatta caraya","mammalia","primates","atelidae","alouatta",TRUE,16,6,"pseudomonas sp., ascaris lumbricoides, bertiella mucronata, dipetalonema gracile, trypanoxyuris minutus, entamoeba sp., giardia intestinalis, giardia sp., plasmodium brasilianum, trichomonas sp., trypanosoma cruzi, howler monkey associated porprismacovirus 1, saint louis encephalitis virus, una virus, vaccinia virus, yellow fever virus","ascaris lumbricoides, giardia intestinalis, trypanosoma cruzi, saint louis encephalitis virus, vaccinia virus, yellow fever virus","Broad (serology, sequencing or isolation)"
"alouatta guariba","mammalia","primates","atelidae","alouatta",TRUE,10,3,"dipetalonema gracile, trypanoxyuris minutus, giardia intestinalis, plasmodium brasilianum, plasmodium simium, plasmodium sp., trypanosoma lewisi, dyoomikronpapillomavirus 1, yellow fever virus, zika virus","giardia intestinalis, yellow fever virus, zika virus","Broad (serology, sequencing or isolation)"
"alouatta palliata","mammalia","primates","atelidae","alouatta",TRUE,21,9,"chromobacterium violaceum, ascaris lumbricoides, controrchis biliophilus, prosthenorchis elegans, trypanoxyuris minutus, blastocystis sp., cyclospora sp., entamoeba sp., giardia sp., isospora sp., leishmania mexicana, plasmodium brasilianum, plasmodium simium, retortamonas sp., trichomonas sp., trypanosoma cruzi, indiana vesiculovirus, primate bocaparvovirus 1, primate erythroparvovirus 1, primate tetraparvovirus 1, yellow fever virus","chromobacterium violaceum, ascaris lumbricoides, leishmania mexicana, trypanosoma cruzi, indiana vesiculovirus, primate bocaparvovirus 1, primate erythroparvovirus 1, primate tetraparvovirus 1, yellow fever virus","Broad (serology, sequencing or isolation)"
"alouatta pigra","mammalia","primates","atelidae","alouatta",TRUE,16,9,"salmonella enterica, ascaris sp., controrchis biliophilus, trypanoxyuris minutus, blastocystis sp., entamoeba coli, entamoeba sp., giardia intestinalis, giardia sp., isospora sp., leishmania mexicana, trypanosoma cruzi, indiana vesiculovirus, mayaro virus, saint louis encephalitis virus, yellow fever virus","salmonella enterica, entamoeba coli, giardia intestinalis, leishmania mexicana, trypanosoma cruzi, indiana vesiculovirus, mayaro virus, saint louis encephalitis virus, yellow fever virus","Broad (serology, sequencing or isolation)"
"alouatta sara","mammalia","primates","atelidae","alouatta",TRUE,1,1,"yellow fever virus","yellow fever virus","Broad (serology, sequencing or isolation)"
"alouatta seniculus","mammalia","primates","atelidae","alouatta",TRUE,23,11,"mycoplasma sp., ascaris lumbricoides, ascaris sp., controrchis biliophilus, dipetalonema gracile, mansonella sp., trichuris trichiura, trypanoxyuris minutus, balantidium sp., blastocystis hominis, chilomastix mesnili, entamoeba sp., plasmodium brasilianum, plasmodium falciparum, plasmodium simium, plasmodium sp., plasmodium vivax, toxoplasma gondii, trypanosoma cruzi, trypanosoma sp., manzanilla orthobunyavirus, mayaro virus, yellow fever virus","ascaris lumbricoides, trichuris trichiura, blastocystis hominis, chilomastix mesnili, plasmodium falciparum, plasmodium vivax, toxoplasma gondii, trypanosoma cruzi, manzanilla orthobunyavirus, mayaro virus, yellow fever virus","Broad (serology, sequencing or isolation)"
"alticola argentatus","mammalia","rodentia","cricetidae","alticola",TRUE,1,1,"tick-borne encephalitis virus","tick-borne encephalitis virus","Broad (serology, sequencing or isolation)"
"alytes obstetricans","amphibia","anura","alytidae","alytes",TRUE,5,3,"rahnella aquatilis, rhodococcus fascians, serratia plymuthica, common midwife toad virus, frog virus 3","rahnella aquatilis, rhodococcus fascians, serratia plymuthica","Broad (serology, sequencing or isolation)"
"amandava amandava","aves","passeriformes","estrildidae","amandava",FALSE,1,0,"pyrrhula pyrrhula polyomavirus 1","","Broad (serology, sequencing or isolation)"
"amatitlania nigrofasciata","actinopteri","cichliformes","cichlidae","amatitlania",FALSE,1,0,"neoechinorhynchus golvani","","Broad (serology, sequencing or isolation)"
"amaurornis flavirostra","aves","gruiformes","rallidae","amaurornis",TRUE,1,1,"nocardia nova","nocardia nova","Broad (serology, sequencing or isolation)"
"amaurornis phoenicurus","aves","gruiformes","rallidae","amaurornis",TRUE,1,1,"avian orthoavulavirus 1","avian orthoavulavirus 1","Broad (serology, sequencing or isolation)"
"amazona aestiva","aves","psittaciformes","psittacidae","amazona",TRUE,8,4,"chlamydia psittaci, mycobacterium tuberculosis, salmonella enterica, aves polyomavirus 1, avian orthoavulavirus 1, beak and feather disease virus, psittacid alphaherpesvirus 1, psittaciform 1 orthobornavirus","chlamydia psittaci, mycobacterium tuberculosis, salmonella enterica, avian orthoavulavirus 1","Broad (serology, sequencing or isolation)"
"amazona albifrons","aves","psittaciformes","psittacidae","amazona",TRUE,4,3,"burkholderia pseudomallei, mycobacterium genavense, beak and feather disease virus, influenza a virus","burkholderia pseudomallei, mycobacterium genavense, influenza a virus","Broad (serology, sequencing or isolation)"
"amazona amazonica","aves","psittaciformes","psittacidae","amazona",TRUE,4,1,"mycobacterium genavense, beak and feather disease virus, psittacid alphaherpesvirus 1, psittaciform 1 orthobornavirus","mycobacterium genavense","Broad (serology, sequencing or isolation)"
"amazona arausiaca","aves","psittaciformes","psittacidae","amazona",FALSE,1,0,"aves polyomavirus 1","","Broad (serology, sequencing or isolation)"
"amazona auropalliata","aves","psittaciformes","psittacidae","amazona",TRUE,4,1,"aves polyomavirus 1, avian orthoavulavirus 1, beak and feather disease virus, psittaciform 1 orthobornavirus","avian orthoavulavirus 1","Broad (serology, sequencing or isolation)"
"amazona autumnalis","aves","psittaciformes","psittacidae","amazona",TRUE,6,3,"nocardia asteroides, aves polyomavirus 1, avian orthoavulavirus 1, beak and feather disease virus, influenza a virus, psittacid alphaherpesvirus 1","nocardia asteroides, avian orthoavulavirus 1, influenza a virus","Broad (serology, sequencing or isolation)"
"amazona barbadensis","aves","psittaciformes","psittacidae","amazona",FALSE,1,0,"psittaciform 1 orthobornavirus","","Broad (serology, sequencing or isolation)"
"amazona farinosa","aves","psittaciformes","psittacidae","amazona",TRUE,4,1,"mycobacterium genavense, psittacid alphaherpesvirus 1, psittaciform 1 orthobornavirus, psittacine atadenovirus a","mycobacterium genavense","Broad (serology, sequencing or isolation)"
"amazona festiva","aves","psittaciformes","psittacidae","amazona",FALSE,1,0,"psittaciform 1 orthobornavirus","","Broad (serology, sequencing or isolation)"
"amazona finschi","aves","psittaciformes","psittacidae","amazona",FALSE,1,0,"psittacid alphaherpesvirus 1","","Broad (serology, sequencing or isolation)"
"amazona leucocephala","aves","psittaciformes","psittacidae","amazona",FALSE,1,0,"psittaciform 1 orthobornavirus","","Broad (serology, sequencing or isolation)"
"amazona ochrocephala","aves","psittaciformes","psittacidae","amazona",TRUE,5,2,"mycobacterium genavense, avian orthoavulavirus 1, psittacid alphaherpesvirus 1, psittaciform 1 orthobornavirus, psittacinepox virus","mycobacterium genavense, avian orthoavulavirus 1","Broad (serology, sequencing or isolation)"
"amazona oratrix","aves","psittaciformes","psittacidae","amazona",TRUE,3,1,"beak and feather disease virus, influenza a virus, psittacid alphaherpesvirus 1","influenza a virus","Broad (serology, sequencing or isolation)"
"amazona pretrei","aves","psittaciformes","psittacidae","amazona",FALSE,1,0,"psittacid alphaherpesvirus 1","","Broad (serology, sequencing or isolation)"
"amazona rhodocorytha","aves","psittaciformes","psittacidae","amazona",FALSE,1,0,"psittaciform 1 orthobornavirus","","Broad (serology, sequencing or isolation)"
"amazona ventralis","aves","psittaciformes","psittacidae","amazona",FALSE,1,0,"psittaciform 1 orthobornavirus","","Broad (serology, sequencing or isolation)"
"amazona versicolor","aves","psittaciformes","psittacidae","amazona",FALSE,1,0,"psittacid alphaherpesvirus 1","","Broad (serology, sequencing or isolation)"
"amazona vinacea","aves","psittaciformes","psittacidae","amazona",TRUE,4,2,"avian coronavirus, avian orthoavulavirus 1, beak and feather disease virus, psittaciform 1 orthobornavirus","avian coronavirus, avian orthoavulavirus 1","Broad (serology, sequencing or isolation)"
"amazona viridigenalis","aves","psittaciformes","psittacidae","amazona",FALSE,2,0,"psittacid alphaherpesvirus 1, psittaciform 1 orthobornavirus","","Broad (serology, sequencing or isolation)"
"amazona xantholora","aves","psittaciformes","psittacidae","amazona",FALSE,1,0,"psittaciform 1 orthobornavirus","","Broad (serology, sequencing or isolation)"
"ambloplites rupestris","actinopteri","centrarchiformes","centrarchidae","ambloplites",FALSE,4,0,"clinostomum marginatum, diplostomum huronense, tylodelphys scheuringi, piscine novirhabdovirus","","Broad (serology, sequencing or isolation)"
"amblycercus holosericeus","aves","passeriformes","icteridae","amblycercus",TRUE,1,1,"ilheus virus","ilheus virus","Broad (serology, sequencing or isolation)"
"amblygaster leiogaster","actinopteri","clupeiformes","clupeidae","amblygaster",TRUE,1,1,"infectious spleen and kidney necrosis virus","infectious spleen and kidney necrosis virus","Broad (serology, sequencing or isolation)"
"amblyraja radiata","chondrichthyes","rajiformes","rajidae","amblyraja",FALSE,6,0,"calicotyle kroyeri, dictyocotyle coeliaca, echeneibothrium canadensis, echeneibothrium vernetae, grillotia erinaceus, pseudanthobothrium hanseni","","Broad (serology, sequencing or isolation)"
"ambystoma maculatum","amphibia","caudata","ambystomatidae","ambystoma",FALSE,1,0,"frog virus 3","","Broad (serology, sequencing or isolation)"
"ambystoma mavortium","amphibia","caudata","ambystomatidae","ambystoma",FALSE,1,0,"ambystoma tigrinum virus","","Broad (serology, sequencing or isolation)"
"ambystoma mexicanum","amphibia","caudata","ambystomatidae","ambystoma",FALSE,1,0,"ambystoma tigrinum virus","","Broad (serology, sequencing or isolation)"
"ambystoma opacum","amphibia","caudata","ambystomatidae","ambystoma",FALSE,1,0,"frog virus 3","","Broad (serology, sequencing or isolation)"
"ambystoma talpoideum","amphibia","caudata","ambystomatidae","ambystoma",FALSE,1,0,"frog virus 3","","Broad (serology, sequencing or isolation)"
"ambystoma tigrinum","amphibia","caudata","ambystomatidae","ambystoma",FALSE,2,0,"ambystoma tigrinum virus, frog virus 3","","Broad (serology, sequencing or isolation)"
"ameiurus catus","actinopteri","siluriformes","ictaluridae","ameiurus",FALSE,1,0,"edwardsiella ictaluri","","Broad (serology, sequencing or isolation)"
"ameiurus melas","actinopteri","siluriformes","ictaluridae","ameiurus",FALSE,6,0,"corallotaenia intermedia, corallotaenia minutia, corallotaenia parafimbriata, phyllodistomum lacustri, epizootic haematopoietic necrosis virus, ictalurid herpesvirus 2","","Broad (serology, sequencing or isolation)"
"ameiurus nebulosus","actinopteri","siluriformes","ictaluridae","ameiurus",TRUE,6,1,"aeromonas hydrophila, edwardsiella ictaluri, cleidodiscus pricei, cyprinid herpesvirus 3, epizootic haematopoietic necrosis virus, piscine novirhabdovirus","aeromonas hydrophila","Broad (serology, sequencing or isolation)"
"ameiva ameiva","lepidosauria","squamata","teiidae","ameiva",FALSE,4,0,"piratuba scaffi, chaco sripuvirus, marco hapavirus, sena madureira sripuvirus","","Broad (serology, sequencing or isolation)"
"amia calva","actinopteri","amiiformes","amiidae","amia",FALSE,5,0,"haplobothrium globuliforme, macroderoides trilobatus, macroderoides typicus, proteocephalus ambloplitis, proteocephalus perplexus","","Broad (serology, sequencing or isolation)"
